epoch,top_k,valid_auc,entropy_l0,entropy_l1,entropy_l2,entropy_mean,divergence_ratio,lb_loss,wall_clock_sec
1,4,0.7788,1.1897,1.0692,0.9292,1.0627,1.00,0.000000,48.2
2,4,0.7798,1.1109,0.9430,0.8439,0.9659,1.00,0.000000,39.9
3,2,0.7785,1.0480,0.8196,0.6945,0.8540,1.00,0.006268,60.3
4,2,0.7780,0.9929,0.7529,0.6180,0.7879,1.00,0.006173,60.2
5,2,0.7774,0.9390,0.6822,0.5630,0.7281,1.00,0.006148,55.5
6,2,0.7760,0.8884,0.6199,0.5082,0.6722,1.00,0.006141,56.6
7,2,0.7745,0.8498,0.5937,0.4681,0.6372,1.00,0.006128,61.0
8,2,0.7736,0.8120,0.5523,0.4254,0.5966,1.00,0.006124,58.5
9,2,0.7724,0.7820,0.5197,0.4028,0.5682,1.00,0.006120,55.2
10,2,0.7692,0.7605,0.5000,0.3790,0.5465,1.00,0.006115,57.7
11,2,0.7681,0.7413,0.4724,0.3563,0.5233,1.00,0.006113,60.3
12,2,0.7666,0.7289,0.4585,0.3438,0.5104,1.00,0.006112,57.4
13,2,0.7651,0.7208,0.4541,0.3315,0.5021,1.00,0.006110,56.4
14,2,0.7642,0.7119,0.4413,0.3138,0.4890,1.00,0.006109,59.1
15,2,0.7617,0.7043,0.4292,0.3063,0.4799,1.00,0.006107,58.2
16,2,0.7604,0.6948,0.4216,0.2990,0.4718,1.00,0.006107,56.7
17,2,0.7587,0.6948,0.4130,0.2911,0.4663,1.00,0.006106,57.8
